AI Usage,Condition,DQ1_12,DQ1_13,DQ1_15,DQ1_16,DQ1_17,Q9_4
"Summer's embrace, warm and bright,// Days of sunshine, endless delight.// Nature's canvas, a vibrant scene,// In the season of gold, life's a dream.",2,74,67,77,78,81,0
"Summer's warmth kisses the earth's embrace, Golden rays paint each smiling face, Nature's symphony in full bloom and grace, In this season of joy, we find our place.",2,55,35,35,36,25,28
dont have chatgpt,2,33,71,48,72,39,0
,2,20,30,50,65,5,32
" Summer days, oh so long, Sunshine bright, skies are strong. Warm breeze whispers through the trees, Lulling the world to ease. ",2,26,51,87,65,79,1
"In Summer's embrace, the sun's warm kiss, Awakens nature with vibrant bliss. Golden days and skies so blue, In Summer's light, our spirits renew.",2,85,66,42,84,42,0
"In summer's warm embrace, we find delight, Sun-kissed days and balmy, starry nights. Nature's palette, vibrant and so bright, A season of pure joy, our hearts take flight.",2,73,47,54,42,64,9
"In summer's embrace, the world comes alive, With skies so blue and warmth that does revive. Nature's canvas painted in vibrant hue, A season of joy, in the sun we thrive.",2,56,49,39,67,32,
"In summer's embrace, the sun's warm kiss, Nature awakens in a vibrant bliss. Fields of green and skies of blue, In summer's glow, our spirits renew.",2,74,81,83,80,78,1
"In summer's embrace, the sun shines bright, Nature's canvas, a vivid, warm delight. Golden fields and skies so clear, Summer's magic, we hold so dear.",2,78,18,41,21,66,4
" Golden sun in azure skies, Nature's beauty, a sweet surprise. Beaches, laughter, endless fun, Summer's warmth for everyone",2,48,77,75,75,27,
"Golden laughter spills from the sun's bright seam, Fields dance in a warm, emerald dream, Summer whispers in hues of jade and cream, In this serene, sun-kissed beam.",2,36,46,33,41,46,3
summer is hot. summer is fun. summer is here.hooray to summer,2,93,9,89,90,14,97
"""Summer's warmth in radiant glow, Beneath the sun, life's colors show. Laughter echoes, as breezes blow, In this season, joy we know.""",2,84,69,64,70,69,48
,2,25,25,25,25,75,51
I can't access ChatGPT,2,75,0,0,100,0,100
"summer is warm, summer is sunny, summer is hot, summer is my favorite season",2,69,71,66,56,91,17
"In summer's embrace, the sun's warm kiss, Nature awakens in a vibrant bliss. Under azure skies, life's colors bloom, A season of joy, dispelling winter's gloom.",2,50,50,48,48,50,100
,2,72,,73,73,,
,2,25,56,81,74,45,16
,2,30,37,61,50,28,88
"Golden sun above, Nature's warmth and endless love. Summer's dance, a vibrant song, Days grow long, nights are strong.",2,0,21,46,63,24,0
"Golden sun in a sapphire sky, Nature's canvas, a warm July. Whispers of a gentle breeze, Summer's embrace, a sweet release.",2,16,35,93,99,82,1
" Sun-kissed days, a golden trance, Whispers of a warm romance. Blossoms dance in hues so bright, Summer's song in soft sunlight.",2,57,77,67,82,69,0
